epsilon,dp_accuracy,lambda,accuracy,size
0.1,0.695425,10.0,0.6955,160000
0.08,0.69545,10.0,0.6955,160000
0.05,0.6955,10.0,0.6955,160000
0.01,0.6955,10.0,0.6955,160000
0.005,0.695575,10.0,0.6955,160000
0.001,0.69585,10.0,0.6955,160000
1.0,0.695325,2.0,0.6953,160000
0.8,0.695375,2.0,0.6953,160000
0.5,0.695375,2.0,0.6953,160000
0.1,0.695375,2.0,0.6953,160000
0.08,0.695325,2.0,0.6953,160000
0.05,0.695525,2.0,0.6953,160000
0.01,0.69555,2.0,0.6953,160000
0.005,0.695775,2.0,0.6953,160000
0.001,0.69655,2.0,0.6953,160000
1.0,0.695625,1.0,0.6956,160000
0.8,0.69555,1.0,0.6956,160000
0.5,0.695625,1.0,0.6956,160000
0.1,0.695575,1.0,0.6956,160000
0.08,0.69565,1.0,0.6956,160000
0.05,0.6955,1.0,0.6956,160000
0.01,0.69545,1.0,0.6956,160000
0.005,0.694775,1.0,0.6956,160000
0.001,0.69485,1.0,0.6956,160000
1.0,0.6952,0.1,0.69505,160000
0.8,0.695025,0.1,0.69505,160000
0.5,0.69515,0.1,0.69505,160000
0.1,0.6944,0.1,0.69505,160000
0.08,0.695125,0.1,0.69505,160000
0.05,0.6953,0.1,0.69505,160000
0.01,0.694025,0.1,0.69505,160000
0.005,0.6719,0.1,0.69505,160000
0.001,0.506475,0.1,0.69505,160000
1.0,0.695075,0.05,0.695025,160000
0.8,0.695075,0.05,0.695025,160000
0.5,0.694875,0.05,0.695025,160000
0.1,0.69525,0.05,0.695025,160000
0.08,0.69325,0.05,0.695025,160000
0.05,0.69325,0.05,0.695025,160000
0.01,0.65125,0.05,0.695025,160000
0.005,0.6179,0.05,0.695025,160000
0.001,0.45155,0.05,0.695025,160000
1.0,0.693025,0.01,0.692875,160000
0.8,0.693375,0.01,0.692875,160000
0.5,0.6928,0.01,0.692875,160000
0.1,0.684575,0.01,0.692875,160000
0.08,0.678475,0.01,0.692875,160000
0.05,0.6294,0.01,0.692875,160000
0.01,0.57525,0.01,0.692875,160000
0.005,0.435125,0.01,0.692875,160000
0.001,0.2572,0.01,0.692875,160000
1.0,0.683425,0.001,0.687825,160000
0.8,0.668775,0.001,0.687825,160000
0.5,0.6347,0.001,0.687825,160000
